mysql> select category, description, count(refseq.id) from go, refseq, gorefs where category = 'Function' and gorefs.refseq_id = refseq.id and go.id = gorefs.go_id group by go.description order by count(refseq.id) desc;
+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| category | description                                                                                                                                                                                 | count(refseq.id) |
+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| Function | protein binding                                                                                                                                                                             |             1363 | 
| Function | molecular_function                                                                                                                                                                          |              807 | 
| Function | metal ion binding                                                                                                                                                                           |              521 | 
| Function | nucleotide binding                                                                                                                                                                          |              460 | 
| Function | hydrolase activity                                                                                                                                                                          |              353 | 
| Function | ATP binding                                                                                                                                                                                 |              299 | 
| Function | oxidoreductase activity                                                                                                                                                                     |              285 | 
| Function | transferase activity                                                                                                                                                                        |              280 | 
| Function | catalytic activity                                                                                                                                                                          |              260 | 
| Function | zinc ion binding                                                                                                                                                                            |              250 | 
| Function | DNA binding                                                                                                                                                                                 |              224 | 
| Function | RNA binding                                                                                                                                                                                 |              224 | 
| Function | binding                                                                                                                                                                                     |              207 | 
| Function | structural constituent of ribosome                                                                                                                                                          |              202 | 
| Function | peptidase activity                                                                                                                                                                          |              181 | 
| Function | calcium ion binding                                                                                                                                                                         |              172 | 
| Function | GTP binding                                                                                                                                                                                 |              158 | 
| Function | transcription factor activity                                                                                                                                                               |              115 | 
| Function | transporter activity                                                                                                                                                                        |               95 | 
| Function | nucleic acid binding                                                                                                                                                                        |               91 | 
| Function | protein homodimerization activity                                                                                                                                                           |               88 | 
| Function | actin binding                                                                                                                                                                               |               86 | 
| Function | receptor activity                                                                                                                                                                           |               86 | 
| Function | GTPase activity                                                                                                                                                                             |               83 | 
| Function | electron carrier activity                                                                                                                                                                   |               81 | 
| Function | serine-type endopeptidase activity                                                                                                                                                          |               80 | 
| Function | iron ion binding                                                                                                                                                                            |               79 | 
| Function | identical protein binding                                                                                                                                                                   |               78 | 
| Function | serine-type endopeptidase inhibitor activity                                                                                                                                                |               75 | 
| Function | structural molecule activity                                                                                                                                                                |               75 | 
| Function | kinase activity                                                                                                                                                                             |               70 | 
| Function | lyase activity                                                                                                                                                                              |               70 | 
| Function | transferase activity, transferring glycosyl groups                                                                                                                                          |               69 | 
| Function | isomerase activity                                                                                                                                                                          |               67 | 
| Function | heme binding                                                                                                                                                                                |               65 | 
| Function | unfolded protein binding                                                                                                                                                                    |               65 | 
| Function | ligase activity                                                                                                                                                                             |               62 | 
| Function | signal transducer activity                                                                                                                                                                  |               59 | 
| Function | serine-type peptidase activity                                                                                                                                                              |               58 | 
| Function | lipid binding                                                                                                                                                                               |               57 | 
| Function | structural constituent of cytoskeleton                                                                                                                                                      |               56 | 
| Function | translation initiation factor activity                                                                                                                                                      |               53 | 
| Function | peptidase inhibitor activity                                                                                                                                                                |               51 | 
| Function | NAD or NADH binding                                                                                                                                                                         |               50 | 
| Function | methyltransferase activity                                                                                                                                                                  |               49 | 
| Function | magnesium ion binding                                                                                                                                                                       |               47 | 
| Function | sequence-specific DNA binding                                                                                                                                                               |               44 | 
| Function | transcription coactivator activity                                                                                                                                                          |               39 | 
| Function | ATPase activity                                                                                                                                                                             |               38 | 
| Function | threonine-type endopeptidase activity                                                                                                                                                       |               37 | 
| Function | RNA polymerase II transcription factor activity                                                                                                                                             |               36 | 
| Function | receptor binding                                                                                                                                                                            |               36 | 
| Function | heat shock protein binding                                                                                                                                                                  |               36 | 
| Function | monooxygenase activity                                                                                                                                                                      |               34 | 
| Function | protein kinase activity                                                                                                                                                                     |               33 | 
| Function | structural constituent of eye lens                                                                                                                                                          |               32 | 
| Function | cysteine-type peptidase activity                                                                                                                                                            |               32 | 
| Function | oxygen binding                                                                                                                                                                              |               32 | 
| Function | peptidyl-prolyl cis-trans isomerase activity                                                                                                                                                |               31 | 
| Function | hormone activity                                                                                                                                                                            |               31 | 
| Function | transcription regulator activity                                                                                                                                                            |               31 | 
| Function | cysteine-type endopeptidase activity                                                                                                                                                        |               30 | 
| Function | translation elongation factor activity                                                                                                                                                      |               29 | 
| Function | endopeptidase activity                                                                                                                                                                      |               28 | 
| Function | glutathione transferase activity                                                                                                                                                            |               28 | 
| Function | acyltransferase activity                                                                                                                                                                    |               28 | 
| Function | protein complex binding                                                                                                                                                                     |               28 | 
| Function | protein heterodimerization activity                                                                                                                                                         |               28 | 
| Function | G-protein coupled receptor activity                                                                                                                                                         |               27 | 
| Function | sugar binding                                                                                                                                                                               |               27 | 
| Function | NADH dehydrogenase (ubiquinone) activity                                                                                                                                                    |               27 | 
| Function | protein serine/threonine kinase activity                                                                                                                                                    |               26 | 
| Function | heparin binding                                                                                                                                                                             |               26 | 
| Function | hydrogen ion transmembrane transporter activity                                                                                                                                             |               26 | 
| Function | nucleoside-triphosphatase activity                                                                                                                                                          |               26 | 
| Function | metallopeptidase activity                                                                                                                                                                   |               25 | 
| Function | structural constituent of muscle                                                                                                                                                            |               25 | 
| Function | transcription activator activity                                                                                                                                                            |               25 | 
| Function | oxygen transporter activity                                                                                                                                                                 |               24 | 
| Function | transcription factor binding                                                                                                                                                                |               24 | 
| Function | protein transporter activity                                                                                                                                                                |               24 | 
| Function | protein N-terminus binding                                                                                                                                                                  |               24 | 
| Function | enzyme binding                                                                                                                                                                              |               23 | 
| Function | protein kinase binding                                                                                                                                                                      |               23 | 
| Function | cytochrome-c oxidase activity                                                                                                                                                               |               22 | 
| Function | ion channel activity                                                                                                                                                                        |               22 | 
| Function | transcription repressor activity                                                                                                                                                            |               22 | 
| Function | manganese ion binding                                                                                                                                                                       |               22 | 
| Function | glutathione peroxidase activity                                                                                                                                                             |               21 | 
| Function | growth factor activity                                                                                                                                                                      |               21 | 
| Function | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor                                                                                                       |               21 | 
| Function | protein domain specific binding                                                                                                                                                             |               21 | 
| Function | transmembrane transporter activity                                                                                                                                                          |               21 | 
| Function | motor activity                                                                                                                                                                              |               20 | 
| Function | protein serine/threonine phosphatase activity                                                                                                                                               |               20 | 
| Function | ubiquitin-protein ligase activity                                                                                                                                                           |               20 | 
| Function | rRNA binding                                                                                                                                                                                |               20 | 
| Function | protein binding, bridging                                                                                                                                                                   |               20 | 
| Function | protein C-terminus binding                                                                                                                                                                  |               19 | 
| Function | troponin I binding                                                                                                                                                                          |               19 | 
| Function | coenzyme binding                                                                                                                                                                            |               19 | 
| Function | transcription corepressor activity                                                                                                                                                          |               18 | 
| Function | acid phosphatase activity                                                                                                                                                                   |               18 | 
| Function | endonuclease activity                                                                                                                                                                       |               18 | 
| Function | calcium-dependent phospholipid binding                                                                                                                                                      |               18 | 
| Function | ATP-dependent helicase activity                                                                                                                                                             |               18 | 
| Function | pyridoxal phosphate binding                                                                                                                                                                 |               18 | 
| Function | proton-transporting ATPase activity, rotational mechanism                                                                                                                                   |               18 | 
| Function | FAD binding                                                                                                                                                                                 |               18 | 
| Function | actin filament binding                                                                                                                                                                      |               18 | 
| Function | chromatin binding                                                                                                                                                                           |               17 | 
| Function | cytoskeletal protein binding                                                                                                                                                                |               17 | 
| Function | ferric iron binding                                                                                                                                                                         |               17 | 
| Function | carboxylesterase activity                                                                                                                                                                   |               16 | 
| Function | metalloendopeptidase activity                                                                                                                                                               |               16 | 
| Function | cytokine activity                                                                                                                                                                           |               16 | 
| Function | general RNA polymerase II transcription factor activity                                                                                                                                     |               16 | 
| Function | small conjugating protein ligase activity                                                                                                                                                   |               16 | 
| Function | cation binding                                                                                                                                                                              |               16 | 
| Function | hydrogen ion transporting ATP synthase activity, rotational mechanism                                                                                                                       |               16 | 
| Function | carbonate dehydratase activity                                                                                                                                                              |               15 | 
| Function | metallocarboxypeptidase activity                                                                                                                                                            |               15 | 
| Function | phosphoprotein phosphatase activity                                                                                                                                                         |               15 | 
| Function | protein tyrosine phosphatase activity                                                                                                                                                       |               15 | 
| Function | enzyme inhibitor activity                                                                                                                                                                   |               15 | 
| Function | fatty acid binding                                                                                                                                                                          |               15 | 
| Function | tropomyosin binding                                                                                                                                                                         |               15 | 
| Function | selenium binding                                                                                                                                                                            |               15 | 
| Function | protein dimerization activity                                                                                                                                                               |               15 | 
| Function | iron-sulfur cluster binding                                                                                                                                                                 |               15 | 
| Function | 4 iron, 4 sulfur cluster binding                                                                                                                                                            |               15 | 
